metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Collection	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__NA	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__NA	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__NA	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__NA.g__NA	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__NA.g__NA	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__NA.g__NA	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family.XIII.g__NA	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family.XIII.g__NA	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family.XIII.g__NA	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Marvinbryantia	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Marvinbryantia	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Marvinbryantia	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__NA.g__NA	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__NA.g__NA	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__NA.g__NA	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Parasutterella	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Parasutterella	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Parasutterella	MouseID	NA	NA	11	0	NA	NA
Collection	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Collection	NA	NA	11	0	NA	NA
Diet	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Diet	NA	NA	11	0	NA	NA
MouseID	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	MouseID	NA	NA	11	0	NA	NA
