	SK56	SK57	SK58	SK59	SK60	SK61	SK62	SK63	SK64	SK65	SK66	SK67	SK68	SK69	SK70	SK71	SK72
SK56	0.0	1.1736780859656815	0.5253388665982229	0.889994506435728	0.28199350066502943	1.9947407682738554	2.757763441161068	2.9269054811593533	2.958646828665069	2.3309363527663183	2.4114676328878075	2.278388184478659	2.612774362208696	2.9140506319210204	2.949180540205915	1.5501735049429173	2.5246362010629144
SK57	1.1736780859656815	0.0	1.6506122525283888	0.33335362937749474	1.4019974968975186	0.9321500714874668	1.6751602947958426	1.9288380860043357	1.891182990895048	1.4589516465669579	1.8888352435865772	1.8732491853991953	2.366879163586345	3.225149926028544	2.930837538831145	1.4765815126881643	2.47732886398371
SK58	0.5253388665982229	1.6506122525283888	0.0	1.389312006258855	0.329272865820364	2.4076751520527186	3.2012518937900274	3.291006856610313	3.3720193762930633	2.6488937821427787	2.6246562514957015	2.4327985945382857	2.6767946506609634	2.7595471625088446	2.8986647851209213	1.637921505517992	2.5746417511624373
SK59	0.889994506435728	0.33335362937749474	1.389312006258855	0.0	1.1158230260280444	1.2606260079081086	1.9884031541211526	2.2538719995770222	2.2162834399000104	1.7586027600275953	2.109229636717487	2.065052694765698	2.528465843660641	3.2468738499520287	3.042146179930277	1.55537319418286	2.578839204023636
SK60	0.28199350066502943	1.4019974968975186	0.329272865820364	1.1158230260280444	0.0	2.2227850546478174	3.0108455066387685	3.1497973842855838	3.2003263596425264	2.5306580047656824	2.6040591564876356	2.437399105459969	2.7394434245450516	2.970736295852262	3.033485178928097	1.6661686948375354	2.67504185782615
SK61	1.9947407682738554	0.9321500714874668	2.4076751520527186	1.2606260079081086	2.2227850546478174	0.0	0.8876721856221581	0.9983449400500175	1.0019159289221549	0.6636538541035347	1.3361021482226603	1.4391304660838669	1.973529561539635	3.1685585434044508	2.6459183518354195	1.4990517124298994	2.24071398743388
SK62	2.757763441161068	1.6751602947958426	3.2012518937900274	1.9884031541211526	3.0108455066387685	0.8876721856221581	0.0	0.7693307226204089	0.37543003047491774	1.1248776748446883	1.6677102947378313	1.9351507598851592	2.4235897028501783	3.649442119559246	3.103739474713793	2.251085065529546	2.600617973012755
SK63	2.9269054811593533	1.9288380860043357	3.291006856610313	2.2538719995770222	3.1497973842855838	0.9983449400500175	0.7693307226204089	0.0	0.4542767957693958	0.7117531670332581	1.267160391590823	1.500404671959463	1.9267935832506895	3.3271961741447527	2.6148600277774747	2.011561966252123	2.320457676040412
SK64	2.958646828665069	1.891182990895048	3.3720193762930633	2.2162834399000104	3.2003263596425264	1.0019159289221549	0.37543003047491774	0.4542767957693958	0.0	1.0097958755450487	1.5655104717931438	1.8333589306739868	2.2897772726648307	3.607576080642337	2.9753075961537236	2.2595880095265826	2.563043390507064
SK65	2.3309363527663183	1.4589516465669579	2.6488937821427787	1.7586027600275953	2.5306580047656824	0.6636538541035347	1.1248776748446883	0.7117531670332581	1.0097958755450487	0.0	0.883446738356319	0.9681630344896976	1.4654397542125213	2.8452737325440647	2.1639230754232353	1.3288523449968883	1.9253247910438647
SK66	2.4114676328878075	1.8888352435865772	2.6246562514957015	2.109229636717487	2.6040591564876356	1.3361021482226603	1.6677102947378313	1.267160391590823	1.5655104717931438	0.883446738356319	0.0	0.40327522450532033	0.7844768078615549	2.060701054320105	1.439309264073725	1.1142537066816904	1.0797771910703329
SK67	2.278388184478659	1.8732491853991953	2.4327985945382857	2.065052694765698	2.437399105459969	1.4391304660838669	1.9351507598851592	1.500404671959463	1.8333589306739868	0.9681630344896976	0.40327522450532033	0.0	0.5354628792366297	1.8978666530429766	1.214111066416589	0.8250223668943535	1.0774409698681504
SK68	2.612774362208696	2.366879163586345	2.6767946506609634	2.528465843660641	2.7394434245450516	1.973529561539635	2.4235897028501783	1.9267935832506895	2.2897772726648307	1.4654397542125213	0.7844768078615549	0.5354628792366297	0.0	1.5356993858898387	0.7009320651185095	1.0940769714731977	0.9176154111602806
SK69	2.9140506319210204	3.225149926028544	2.7595471625088446	3.2468738499520287	2.970736295852262	3.1685585434044508	3.649442119559246	3.3271961741447527	3.607576080642337	2.8452737325440647	2.060701054320105	1.8978666530429766	1.5356993858898387	0.0	1.0314571463852273	1.8959565975459567	1.093111096973652
SK70	2.949180540205915	2.930837538831145	2.8986647851209213	3.042146179930277	3.033485178928097	2.6459183518354195	3.103739474713793	2.6148600277774747	2.9753075961537236	2.1639230754232353	1.439309264073725	1.214111066416589	0.7009320651185095	1.0314571463852273	0.0	1.518639741359064	0.9902448254771463
SK71	1.5501735049429173	1.4765815126881643	1.637921505517992	1.55537319418286	1.6661686948375354	1.4990517124298994	2.251085065529546	2.011561966252123	2.2595880095265826	1.3288523449968883	1.1142537066816904	0.8250223668943535	1.0940769714731977	1.8959565975459567	1.518639741359064	0.0	1.3599911678904035
SK72	2.5246362010629144	2.47732886398371	2.5746417511624373	2.578839204023636	2.67504185782615	2.24071398743388	2.600617973012755	2.320457676040412	2.563043390507064	1.9253247910438647	1.0797771910703329	1.0774409698681504	0.9176154111602806	1.093111096973652	0.9902448254771463	1.3599911678904035	0.0
