	shannon
S191127.3.1.c	4.298435549960286
S191030.5.0	2.9633479795009814
S191030.3.1	2.9500547026194357
S190905.4.2	4.693577851871041
S190905.4.0	4.445110772807568
S191030.4.2	2.0596723118603997
S191126.3.3	2.917330660743076
S190905.4.3	4.605721320104524
S190905.5.0	4.694849329405048
S191126.4.2	2.750018360397289
S191126.3.2	3.0550988274771584
S191030.5.3	2.5769686190450654
S191127.5.1.c	3.254549994129863
S191030.4.3	2.1247696352712806
S191030.4.0	1.9312029748522752
S191126.3.1	4.29410185119635
S191002.4.2	2.0535575617484008
S191126.5.1	3.2318152643152573
S191030.3.2	2.489783837310056
S191003.5.1	2.1806957802744162
S191127.4.0.c	2.6946942380312304
S191002.3.3	2.5892539033716195
S191127.3.0.c	2.998079672412645
S191127.5.2.c	3.77960600970599
S190905.3.3	4.784308283706501
S191126.5.0	3.846641168746911
S190905.5.1	4.402506436059048
S191126.5.2	3.3281763103396815
S191030.3.3	2.649563667133462
S191030.4.1	2.3547639768793323
S191002.3.2	2.290193413148557
S190905.5.3	4.33826891810033
S191003.5.0	1.9252472612861102
S191126.3.0	3.161872194833132
S191003.4.0	2.2894594689673324
S191127.5.0.c	3.4679011321369275
S191127.4.1.c	2.0822808602837766
S191127.3.2.c	3.9128616588432226
S191002.5.3	2.5241903184471406
S191030.5.2	3.039319706161365
S190905.3.0	3.5217798177784627
S191003.5.2	2.302666342294695
S191126.5.3	3.5107070809827245
S191002.4.1	1.6846511591403284
S191030.5.1	3.2344951427970217
S191002.4.3	1.9628364246363228
S190905.3.1	4.278057093630778
S191127.4.2.c	1.9994095155535156
S191126.4.1	2.5285042404018983
S191127.5.3.c	3.375721231247951
S191030.3.0	2.448942477322709
S191002.3.1	2.7783021647416923
S190905.4.1	4.332975825257991
S190905.3.2	5.009057126061893
S190905.5.2	4.633044326634313
S191126.4.0	2.5340548038681385
S191127.3.3.c	3.3835684192672897
