metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Week4	1.54796216670494	0.0433922416297407	46	0	2.70396159803306e-27	2.39610623989077e-25
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Week8	1.52308778303336	0.0423040077285696	46	0	3.68631729213965e-27	2.39610623989077e-25
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Week12	1.39150969427273	0.0433922416297407	46	0	7.41677080762933e-26	3.21393401663938e-24
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Week8	1.33823506418636	0.088599258960757	46	0	4.03082391871876e-18	1.04801421886688e-16
Collection	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Parasutterella	Week12	1.12762220204219	0.0744388773299997	46	0	3.6497708655509e-18	1.04801421886688e-16
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	BD_supp	1.53141124479676	0.107483289029435	46	0	2.91215120407239e-17	6.30966094215684e-16
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__NA	Week12	1.57888479877229	0.112431266986194	46	0	4.72935367717717e-17	7.82602277473671e-16
Collection	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Parasutterella	Week4	1.04478547309301	0.0744388773299997	46	0	4.81601401522259e-17	7.82602277473671e-16
Collection	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enterorhabdus	Week8	-1.75167245804937	0.10610172262454	46	0	1.34672234108338e-16	1.9452656037871e-15
Collection	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Parasutterella	Week8	0.977925902590138	0.072726472466068	46	0	1.9956618199906e-16	2.59436036598778e-15
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Week4	1.19289434219709	0.0906854016931153	46	0	4.10443057146467e-16	4.85069067536734e-15
Collection	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enterorhabdus	Week4	-1.63518891385596	0.108612492342469	46	0	1.04007138098038e-15	1.12674399606208e-14
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__NA.g__NA	Week8	1.33660476322711	0.110073511262364	46	0	5.38410598397766e-15	5.38410598397766e-14
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__NA.g__NA	Week12	1.33011381341093	0.112665283002203	46	0	1.3056577627101e-14	1.21239649394509e-13
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__NA.g__NA	Week4	1.29250116170762	0.112665283002203	46	0	3.1856048024188e-14	2.76085749542962e-13
Collection	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enterorhabdus	Week12	-1.38212581115748	0.108612492342469	46	0	9.02770190415102e-14	7.3350077971227e-13
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Week4	-1.62992595174903	0.130966456693072	46	0	9.94051869554208e-14	7.60157312012041e-13
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Week12	0.977915295558514	0.0906854016931153	46	0	2.09747103341394e-13	1.51484019079896e-12
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Week8	-1.43962719051979	0.127818812718247	46	0	1.66860424384468e-12	1.14167658789373e-11
Collection	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__NA	Week4	-0.680480263397532	0.0693620735893203	46	0	3.34294711838052e-12	2.17291562694734e-11
Collection	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Week12	-1.2309039333689	0.130966456693072	46	0	1.13071969437227e-10	6.99969334611407e-10
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__NA	Week8	-0.945580466836241	0.109844878591435	46	0	1.20710077143217e-10	7.13286819482644e-10
Collection	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__NA	Week4	-0.958390791403373	0.112431266986194	46	0	1.56137717170841e-10	8.82517531835189e-10
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	BD	0.775049018991521	0.0921054323957132	46	0	2.18514600663714e-10	1.18362075359512e-09
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter	Week4	-0.982163688125326	0.11792589038273	46	0	2.8497143103809e-10	1.48185144139807e-09
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Week4	-1.01689595026615	0.124822643820093	46	0	5.0057984620162e-10	2.5028992310081e-09
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	Week4	-1.52630547227222	0.192622005617085	46	0	1.00295861702876e-09	4.82906000791623e-09
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Week8	-0.911289722390419	0.121951202040299	46	0	4.15610241816741e-09	1.92961897986344e-08
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	Week12	-1.43554442799662	0.192622005617085	46	0	4.42721066833812e-09	1.98461167891019e-08
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	Week8	-1.39930413458219	0.188190895541947	46	0	4.67394047709939e-09	2.02537420674307e-08
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Week4	1.32841707561442	0.181809335406825	46	0	7.04103753355689e-09	2.95269315923353e-08
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	BD	0.963228014706529	0.132940502217739	46	0	8.55399186714759e-09	3.47505919602871e-08
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter	Week12	-0.851879979675231	0.11792589038273	46	0	9.16688349479251e-09	3.61119652825159e-08
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter	Week8	-0.790348005004515	0.115213102716956	46	0	2.94043981683242e-08	1.12428581231828e-07
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family.XIII.g__NA	BD	-1.28802071612113	0.189052773379708	46	0	3.41846929728008e-08	1.26971716756117e-07
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	Week4	-1.11137620773968	0.163701024133712	46	0	3.69236344557288e-08	1.33335346645687e-07
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	Week8	1.00344623309592	0.14818091546097	46	0	3.90368583005061e-08	1.3715652916394e-07
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	Week12	1.01606372146579	0.151669957508151	46	0	4.93152251349472e-08	1.68709980724819e-07
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Week12	-0.813352821455487	0.124822643820093	46	0	8.90190668894728e-08	2.96730222964909e-07
Collection	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Week4	0.434202188895575	0.066743332420292	46	0	9.20940674404435e-08	2.99305719181441e-07
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family.XIII.g__NA	BD_supp	-1.20090621486629	0.185726071831121	46	0	1.04641553959389e-07	3.31790293041967e-07
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	BD	-0.93682978125718	0.155271395632954	46	0	4.24063915126598e-07	1.31257878491566e-06
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	Week8	-0.938198339310927	0.159935217340113	46	0	7.29071223073571e-07	2.20416881394335e-06
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Week8	1.02878781061422	0.177626961875334	46	0	9.27142673058774e-07	2.73928517040092e-06
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	Week12	0.981007138117571	0.177146961121823	46	0	2.10703731678251e-06	6.08699669292726e-06
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	BD	-0.643974873932891	0.117216198512934	46	0	2.42766039047691e-06	6.86077936439127e-06
Collection	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Week8	0.570621494143551	0.10073341034944	46	0	3.21310896940354e-06	8.88732268132894e-06
Collection	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Week4	0.578304795487755	0.103350691723578	46	0	3.7450184454538e-06	1.01427582897707e-05
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	Week12	-0.855508698257164	0.163701024133712	46	0	5.74673514225898e-06	1.52464401733401e-05
Collection	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__NA	Week8	-0.347374716907219	0.0677664564004663	46	0	7.91651935012893e-06	2.04996005788604e-05
Collection	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	Week8	0.738250943184455	0.144157672793745	46	0	8.04215099632214e-06	2.04996005788604e-05
