# Constructed from biom file
#OTU ID	S191127.3.1.c	S191127.5.1.c	S191127.4.0.c	S191127.3.0.c	S191127.5.2.c	S191127.5.0.c	S191127.4.1.c	S191127.3.2.c	S191127.4.2.c	S191127.5.3.c	S191127.3.3.c	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	94.0	0.0	1775.0	50.0	18.0	61.0	887.0	0.0	400.0	16.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	107.0	78.0	225.0	58.0	240.0	203.0	236.0	12.0	140.0	118.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	97.0	0.0	0.0	36.0	36.0	31.0	0.0	0.0	0.0	53.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA	2260.0	998.0	14.0	979.0	2427.0	2926.0	425.0	1171.0	29.0	1927.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella	0.0	29.0	163.0	49.0	0.0	18.0	160.0	21.0	79.0	33.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	82.0	41.0	0.0	85.0	300.0	204.0	0.0	69.0	0.0	117.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA	707.0	641.0	815.0	610.0	448.0	723.0	213.0	422.0	610.0	427.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	156.0	433.0	17.0	67.0	746.0	855.0	0.0	122.0	59.0	484.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA	147.0	68.0	14.0	60.0	719.0	841.0	14.0	194.0	136.0	412.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter	0.0	0.0	0.0	0.0	73.0	29.0	0.0	0.0	0.0	27.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	525.0	135.0	0.0	393.0	399.0	470.0	0.0	249.0	39.0	212.0	0.0
