metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Diet	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Enterobacter	BD	1.24831135354756	0.0871674436367719	11	0	1.68587677115683e-07	4.72045495923914e-06
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	BD	1.57988665412302	0.258572469282936	11	0	0.000177076580471832	0.00247907212660565
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella	BD	0.855437659753565	0.204522932644338	11	0	0.00236694284726038	0.0220914665744302
Diet	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	BD	0.946019066776106	0.284125984035959	11	0	0.00880502421962221	0.0457107404688108
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	BD	0.541624822264125	0.166001201512759	11	0	0.00979515867188802	0.0457107404688108
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium	BD	-1.00928437029715	0.298377630717159	11	0	0.00809386117460289	0.0457107404688108
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	BD	-0.680452825502418	0.234406625405248	11	0	0.0175132400173536	0.0700529600694145
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family.XIII.g__NA	BD	-1.23992894854422	0.506669838402892	11	0	0.0369251565929976	0.129238048075492
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	BD	-1.02860460112124	0.4386514125201	11	0	0.0436666088112458	0.135851671857209
Diet	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__NA	BD	0.561140327478656	0.246790569999096	11	0	0.0490612554789436	0.137371515341042
Diet	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	BD	0.364811700610977	0.167904372991651	11	0	0.0578551927942481	0.147267763476268
Diet	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	BD	-0.862114366767597	0.415441190227692	11	0	0.0677929199261261	0.158183479827628
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__NA	BD	-1.18241553811662	0.604777587952251	11	0	0.0822865672440145	0.177232606371724
Diet	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__NA.g__NA	BD	-0.693010327151567	0.39310858662017	11	0	0.111750809553406	0.217478520501411
Diet	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	BD	-0.692205074825472	0.398641287957165	11	0	0.116506350268613	0.217478520501411
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Marvinbryantia	BD	-0.330107728736995	0.199230618384788	11	0	0.131916864142817	0.23085451224993
Diet	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__NA	BD	-0.564830333199014	0.358773219234895	11	0	0.149861435269816	0.246830599267933
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	BD	0.470478046625109	0.313733773191755	11	0	0.167950068261174	0.252925476992054
Diet	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__NA	BD	-0.691963484820465	0.465877338098498	11	0	0.171628002244608	0.252925476992054
