	observed_otus
S190905.5.1	197
S190905.5.2	156
S190905.5.3	107
S191002.3.1	200
S191002.3.2	189
S191002.3.3	227
S191003.4.0	190
S191002.4.1	138
S191002.4.2	153
S191002.4.3	182
S190905.3.0	123
S191003.5.0	112
S191003.5.1	166
S191003.5.2	200
S191002.5.3	218
S191030.3.0	176
S191030.3.1	145
S191030.3.2	190
S191030.3.3	208
S191030.4.0	111
S191030.4.1	168
S190905.3.1	222
S191030.4.2	172
S191030.4.3	203
S191030.5.0	221
S191030.5.1	171
S191030.5.2	222
S191030.5.3	211
S191126.3.0	139
S191126.3.1	214
S191126.3.2	199
S191126.3.3	206
S190905.3.2	216
S191126.4.0	209
S191126.4.1	150
S191126.4.2	226
S191126.5.0	268
S191126.5.1	160
S191126.5.2	242
S191126.5.3	237
S191127.3.0.c	250
S191127.3.1.c	273
S191127.3.2.c	174
S190905.3.3	122
S191127.3.3.c	184
S191127.4.0.c	178
S191127.4.1.c	98
S191127.4.2.c	138
S191127.5.0.c	205
S191127.5.1.c	214
S191127.5.2.c	223
S191127.5.3.c	161
S190905.4.0	213
S190905.4.1	196
S190905.4.2	208
S190905.4.3	249
S190905.5.0	138
