	S191030.5.0	S191030.3.1	S190905.4.2	S190905.4.0	S191030.4.2	S191126.3.3	S190905.4.3	S190905.5.0	S191126.4.2	S191126.3.2	S191030.5.3	S191030.4.3	S191030.4.0	S191126.3.1	S191002.4.2	S191126.5.1	S191030.3.2	S191003.5.1	S191002.3.3	S190905.3.3	S191126.5.0	S190905.5.1	S191126.5.2	S191030.3.3	S191030.4.1	S191002.3.2	S190905.5.3	S191003.5.0	S191126.3.0	S191003.4.0	S191002.5.3	S191030.5.2	S190905.3.0	S191003.5.2	S191126.5.3	S191002.4.1	S191030.5.1	S191002.4.3	S190905.3.1	S191126.4.1	S191030.3.0	S191002.3.1	S190905.4.1	S190905.3.2	S190905.5.2	S191126.4.0
S191030.5.0	0.0	0.5988700838103354	2.70850820379893	2.7433475490913697	2.7296564445514413	0.4208777661350543	2.4786645441345425	2.6026297463232093	2.8847996814063084	0.44439538439786264	0.2951219532317498	2.3939044038566784	2.4499188948083614	0.6470936818955596	2.422255414398817	0.5461795183284688	0.5461213702217567	1.4465022002772818	1.3586163108771414	2.741946767261699	0.08573711091811485	2.8044723177191186	0.28354569365498056	0.25017842179641914	2.9822442813765693	1.168697822947567	2.551415093524925	1.6987387902754973	0.5015907965657023	2.216020826647586	1.049933911540451	0.09466848851946608	2.44616734977729	0.8781790776484221	0.15395817298826855	3.0940575360262668	0.5421011589687003	2.6962451040571063	2.7026119200584064	3.4065007279682535	0.13978130136258282	0.7324435491073314	2.666277434283436	2.797176734853235	2.8632627963073394	2.8278502282768745
S191030.3.1	0.5988700838103354	0.0	2.2333490445250024	2.3282459822484083	2.216499113132731	0.2779383665850812	2.1118406578366193	2.194586264081648	2.3838562534771435	0.25985374220037466	0.7333440361153373	1.8658210872834797	1.9262190687789054	0.18673251191114132	1.9138672140759951	0.21977661720196828	0.453445127211692	0.9257307792656124	0.935924033479199	2.315186069527411	0.5168390986179099	2.3394684892559354	0.6138311993896443	0.5648753768449393	2.4557414756318225	0.5801509899907294	2.168783440772493	1.1214809645582686	0.27562692791925103	1.756720664034239	0.5651228351675038	0.5998808659042442	2.0193856987624357	0.4176384843028924	0.7307095562776212	2.623903377177992	0.5629437716878213	2.2285208693058314	2.284588219965405	2.915391009626554	0.46625393730843073	0.47996657170702056	2.2342610330635155	2.4203872747822954	2.4526940487535245	2.3357146319956033
S190905.4.2	2.70850820379893	2.2333490445250024	0.0	0.43368604314962783	2.3700364250677204	2.3288622689296576	0.7515636308659942	0.411122486590134	2.5491659613176574	2.484691561855825	2.7415140764112995	2.1532839353141324	2.124030674146459	2.1286631705744155	2.3162483361113133	2.210468445232312	2.287806824280298	2.025963357712997	2.4416129653466423	0.3202830117649129	2.6458987280535875	0.13244176252475018	2.6230744455323443	2.6127122843673267	2.4053179466771213	1.9179235592235455	0.547845825511957	1.436028639165027	2.429802292189753	2.41477095903578	2.25419454021728	2.747884804613743	0.4013035252465879	1.905222397778583	2.843111560996842	2.8238940564683817	2.6756226171817823	2.666477744938874	0.39903855533380284	2.791984014324611	2.587957416490278	2.462959455225202	0.28327736405470083	0.6672017233623374	0.4621445389372754	2.511008709272558
S190905.4.0	2.7433475490913697	2.3282459822484083	0.43368604314962783	0.0	2.768245554725729	2.3741904917539194	0.414629845585247	0.24413291430277617	2.951997529583266	2.5807991658330525	2.7382224957210566	2.5300243772928295	2.507419662391089	2.2227897875046785	2.690243747148634	2.26477916071526	2.299408242822471	2.283285588771511	2.683613542763072	0.3134726173111579	2.6871911412801794	0.4160343042032609	2.628816536206553	2.6284247924602426	2.8190476598385126	2.1080340815331176	0.3233944213788831	1.7093826185583982	2.5367428817949036	2.76412542687717	2.4480607281208777	2.787122824944542	0.31537811509409164	1.965159432036662	2.8671272073887546	3.229208741799482	2.792897150413105	3.0505317697918213	0.0532604381973984	3.2130548709209132	2.635781614648333	2.6107957568068976	0.18634244151562007	0.2368637244062498	0.17873949599308428	2.9107326681845405
S191030.4.2	2.7296564445514413	2.216499113132731	2.3700364250677204	2.768245554725729	0.0	2.4904776611714055	2.8966541466595688	2.6429577048322592	0.1969204988973856	2.308459595822505	2.9358625183235607	0.3628818951603406	0.3190911943429167	2.183615275686615	0.32485265769225197	2.4007363567462896	2.6299434457390194	1.2939777414326763	1.4465280728767238	2.589311414272213	2.6633693445321827	2.4471713538787627	2.8250428326255146	2.7717472281508932	0.27380870854446093	1.6814498607256703	2.7194004769087483	1.3861643679493274	2.22811229895548	0.5962985553182673	1.6989506889402888	2.7299271167029677	2.538578911050446	2.2819049838735173	2.8613119446978734	0.5124805258026506	2.2856755911056013	0.3595996707834108	2.7213882093540396	0.736520258676782	2.6006109515027664	2.0232766057646474	2.5956126500243006	2.9881489483994703	2.811030285155924	0.20001850619194209
S191126.3.3	0.4208777661350543	0.2779383665850812	2.3288622689296576	2.3741904917539194	2.4904776611714055	0.0	2.117481780749866	2.2459866474785306	2.659121395837388	0.344746130694583	0.48327903712648207	2.1392718712495973	2.1970603568615004	0.34321255358882385	2.189975345946807	0.12915056429941105	0.22305382212627167	1.1989594635802552	1.2026356608087825	2.3839369772103134	0.3441938455413643	2.4310639836185968	0.3571106038359486	0.3191048348960494	2.728015437995355	0.840825496315578	2.2054177329949507	1.3467041438730722	0.4060662000328697	2.0295011116190533	0.8387349791716359	0.43227550929725256	2.074596950249432	0.45910500591577486	0.5401967245903386	2.898168296450928	0.6457647362875104	2.504336982711346	2.333566803164946	3.1857886262042725	0.31405715889268515	0.6714599716336386	2.2972130074239607	2.4408762626882883	2.5021390347541326	2.6091576425933334
S190905.4.3	2.4786645441345425	2.1118406578366193	0.7515636308659942	0.414629845585247	2.8966541466595688	2.117481780749866	0.0	0.47315461005487564	3.088237155204468	2.361428461065706	2.4404813996879455	2.620751575746907	2.6135647480833555	2.0153885682141945	2.774162337589705	2.016431222478535	2.015268508803299	2.2272569719256285	2.597325207101068	0.6535652144379814	2.4262982054274507	0.7816361020142111	2.3380013307651977	2.3446458081639383	2.9801403036347165	1.981296012077276	0.43354924425716274	1.6898920907829644	2.3322007237135702	2.8176253880847	2.318237542554417	2.521784697649759	0.39940119095863896	1.7261072871531005	2.590971944151132	3.3749586878353046	2.597348416796183	3.1507282267948424	0.414767685178439	3.408238024372325	2.382516303051866	2.444257118508209	0.5109203386723262	0.36524945653835805	0.5588363616905663	3.045931663662592
S190905.5.0	2.6026297463232093	2.194586264081648	0.411122486590134	0.24413291430277617	2.6429577048322592	2.2459866474785306	0.47315461005487564	0.0	2.8272126167264986	2.441684715682622	2.616612038333811	2.4034125308715644	2.3748884216493256	2.075903890277523	2.560219462799734	2.138507813269621	2.1873494701686806	2.1337676209014127	2.5393416831371245	0.1987488552672067	2.5487826710457573	0.39427832489402226	2.5076339319040652	2.505288950865406	2.7063737009603757	1.9785912349444674	0.13951366021913195	1.576982374358451	2.387174534693908	2.6115238317837024	2.305528436666162	2.6512646302793597	0.23520988649738409	1.852258781984104	2.73127621118924	3.0951598944057754	2.6328808004543074	2.9136772182292376	0.20151160884017863	3.086862833676746	2.49320423004282	2.450489193297703	0.15746561215357124	0.37689695950771235	0.2724112130960276	2.776829033064157
S191126.4.2	2.8847996814063084	2.3838562534771435	2.5491659613176574	2.951997529583266	0.1969204988973856	2.659121395837388	3.088237155204468	2.8272126167264986	0.0	2.464135058153384	3.0969346233185173	0.5483416024108366	0.5115077182722546	2.354285699454814	0.47403532358045336	2.572927598993547	2.80391333340333	1.4613769996579185	1.5802749330264803	2.768310688439536	2.820097105597824	2.623257649946802	2.9886480397057116	2.934298990058055	0.2533077550870689	1.857855684147349	2.9050154924872738	1.5812799730856162	2.383860747588284	0.7026294440957743	1.8546934401877888	2.8834544652318317	2.727123853013368	2.464460453172022	3.013864492939822	0.33064211081092676	2.4262792953215064	0.3113391674284383	2.905514746905907	0.5933329074446294	2.7581981665671447	2.1700873544824097	2.7786809453179386	3.173173088921156	2.990858365863213	0.13571297508464425
S191126.3.2	0.44439538439786264	0.25985374220037466	2.484691561855825	2.5807991658330525	2.308459595822505	0.344746130694583	2.361428461065706	2.441684715682622	2.464135058153384	0.0	0.6423136990850149	1.9690620162411236	2.0326322596473894	0.3735617072424867	1.9969064942232706	0.38518371395284207	0.5551531826295039	1.0282692235174824	0.9347515031545928	2.5614316424139023	0.37019991843127414	2.5890645425027823	0.5514814830905872	0.4921028182622877	2.55949162155592	0.759027282192232	2.4123989246590756	1.3271981654484362	0.14587825326301238	1.8084254845915582	0.6138591220764273	0.42761262311808634	2.27159912903176	0.6658665452506909	0.5638181204170567	2.6840120940451975	0.3518009280336741	2.280751490476357	2.536843765834384	3.000130804959295	0.32897466504346023	0.3837873932589581	2.4854011896228987	2.669532025050454	2.7023208632233984	2.414372449177147
