	shannon
SK01	3.383145229986474
SK02	3.17623619116364
SK04	2.7604405889320183
SK05	2.8711211821687583
SK06	3.079410757647082
SK07	3.1831566545378904
SK08	3.038318182021341
SK09	2.777879512675978
SK10	3.0779581197139008
SK11	3.951801608273196
SK12	4.10346488889495
SK13	3.4963590019169684
SK14	3.4103562097238727
SK15	3.7955987362259163
SK16	2.606981202067276
SK17	2.6652540209816267
SK18	2.918922212420841
SK19	3.4647920506394185
SK20	3.849683944798327
SK21	2.3031983341810722
SK22	3.306080763504131
SK23	2.8736837225826046
SK24	2.897375190432952
SK25	3.0851308423437858
SK26	2.975315874448839
SK27	3.5430054254809114
SK28	3.4990674108529505
SK29	3.904927946196301
SK30	3.4800572026285184
SK31	3.343816461660624
SK32	4.372383519108525
SK33	4.3587003263375745
SK34	4.045915700623349
SK35	4.074062801539491
SK36	3.903032572725901
SK37	2.554722068192003
SK38	2.363962037917616
SK39	3.77944544436577
SK40	3.101366694525749
SK41	3.5537261550273453
SK42	3.1694625110434416
SK43	3.493448957622177
SK44	4.001928373533371
SK45	3.6616540100029895
SK46	3.201437774086062
SK47	2.667773858932031
SK48	3.334679981332343
SK49	3.4014724695806438
SK50	3.184843833423304
SK51	3.17335125276168
SK52	2.4515485622772504
SK53	2.7141972351777346
SK54	3.5774402083252896
SK55	3.335330343895899
SK56	3.2980137444764552
SK57	3.4495755110589834
SK58	3.2739324458035646
SK59	3.7475582699051673
SK60	3.3129381960136244
SK61	4.229899955784021
SK62	3.797039337349383
SK63	3.4277095171850753
SK64	2.6763478935516116
SK65	3.6507672605480717
SK66	4.7315163308410755
SK67	3.949835490598176
SK68	3.80614383945797
SK69	2.212153046903011
SK70	2.9544829427123616
SK71	3.2665264051469554
SK72	2.5562753760939194
