# Constructed from biom file
#OTU ID	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
k__Bacteria;p__Firmicutes;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Family_XI;g__Gemella	0.0	0.0	35.0	4.0	0.0	0.0	47.0	0.0	0.0	31.0	5.0	0.0	0.0	0.0	7.0	24.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	0.0	40.0	15.0	17.0	0.0	0.0	0.0	4.0	0.0	57.0	107.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0	5.0	0.0	8.0	0.0	34.0	17.0	0.0	0.0	790.0	11.0	0.0	0.0	31.0	0.0	75.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	2017.0	13179.0	35387.0	25882.0	37156.0	12517.0	43366.0	16783.0	24805.0	11426.0	42091.0	34088.0	28393.0	5210.0	11907.0	17230.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	40.0	17.0	38.0	0.0	19.0	33.0	25.0	5.0	99.0	0.0	42.0	5.0	23.0	0.0	23.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	16.0	0.0	7.0	0.0	5.0	0.0	24.0	0.0	21.0	0.0	0.0	7.0	5.0	10.0	6.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	16.0	16.0	0.0	10.0	13.0	11.0	35.0	9.0	9.0	0.0	21.0	12.0	5.0	9.0	12.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	145.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1	4061.0	2244.0	3320.0	872.0	3262.0	1247.0	0.0	0.0	2579.0	7879.0	4774.0	1045.0	529.0	496.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__	28.0	9.0	232.0	211.0	31.0	0.0	106.0	15.0	104.0	0.0	209.0	26.0	17.0	40.0	43.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__	49.0	53.0	97.0	71.0	42.0	8.0	150.0	25.0	84.0	27.0	246.0	44.0	20.0	155.0	71.0	187.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Anaerovorax	0.0	0.0	17.0	14.0	0.0	0.0	19.0	0.0	0.0	0.0	18.0	0.0	0.0	12.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group	11.0	0.0	9.0	8.0	0.0	0.0	8.0	13.0	0.0	4.0	13.0	0.0	0.0	34.0	0.0	122.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001	29.0	0.0	62.0	45.0	9.0	8.0	109.0	0.0	57.0	0.0	135.0	24.0	25.0	17.0	93.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	1556.0	602.0	7213.0	4239.0	2018.0	642.0	8228.0	1574.0	2378.0	11.0	9797.0	2743.0	897.0	4139.0	6294.0	245.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2	13.0	16.0	48.0	28.0	13.0	18.0	34.0	25.0	38.0	0.0	120.0	65.0	0.0	0.0	167.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor	61.0	0.0	319.0	63.0	85.0	8.0	530.0	85.0	35.0	0.0	354.0	6.0	20.0	63.0	452.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerosporobacter	0.0	69.0	839.0	823.0	0.0	0.0	1486.0	486.0	0.0	0.0	1007.0	45.0	0.0	0.0	78.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_2	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575	156.0	34.0	525.0	200.0	350.0	69.0	525.0	87.0	68.0	0.0	693.0	24.0	265.0	183.0	226.0	63.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	657.0	475.0	1989.0	682.0	976.0	201.0	2154.0	294.0	1090.0	55.0	3503.0	794.0	431.0	5153.0	1243.0	211.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	8.0	0.0	91.0	56.0	18.0	0.0	100.0	0.0	15.0	0.0	154.0	0.0	6.0	0.0	47.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	484.0	1430.0	5947.0	7149.0	1167.0	565.0	8596.0	2385.0	494.0	16.0	6739.0	1623.0	5079.0	11574.0	6272.0	137.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	525.0	582.0	1904.0	1472.0	2339.0	286.0	7533.0	788.0	561.0	0.0	2024.0	3442.0	3713.0	983.0	6257.0	12.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	81.0	0.0	0.0	173.0	0.0	25.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006	586.0	30.0	1113.0	638.0	299.0	35.0	2084.0	74.0	1556.0	0.0	3420.0	378.0	164.0	791.0	831.0	42.0
