	observed_otus
WT1_R3TK43_d7_COLON	293
WT2_L1TK28_D7_COLON	311
WT3_L1TK41_d7_COLON	341
WT4_R1TK44_d7_COLON	286
KO1_R3L1TK43_d7_COLON	138
KO2_R1R3TK28_d7_COLON	269
KO3_L3TK40_d7_COLON	131
KO4_TK44L1_d7_COLON	123
WT1_R3TK43_d0_STOOL	263
WT1_R3TK43_d7_STOOL	224
WT2_L1TK28_d0_STOOL	340
WT2_L1TK28_D7_STOOL	309
WT3_L1TK41_d0_STOOL	284
WT3_L1TK41_d7_STOOL	221
WT4_R1TK44_d0_STOOL	328
WT4_R1TK44_d7_STOOL	227
KO1_R3L1TK43_d0_STOOL	280
KO1_R3L1TK43_d7_STOOL	97
KO2_R1R3TK28_d0_STOOL	369
KO2_R1R3TK28_d7_STOOL	269
KO3_L3TK40_d0_STOOL	237
KO3_L3TK40_d7_STOOL	285
KO4_TK44L1_d0_STOOL	271
KO4_TK44L1_d7_STOOL	157
