	S191127.3.1.c	S191127.5.1.c	S191127.4.0.c	S191127.3.0.c	S191127.5.2.c	S191127.5.0.c	S191127.4.1.c	S191127.3.2.c	S191127.4.2.c	S191127.5.3.c	S191127.3.3.c
S191127.3.1.c	0.0	1.5545455770856325	2.2251397274020133	0.4903602240896485	2.610460912900254	2.7262795463792626	3.393392618607003	0.2153742659737016	2.853008228517118	2.448577743675731	1.8036195541378863
S191127.5.1.c	1.5545455770856325	0.0	1.7013407302175827	1.422502200942845	1.4745255735501583	1.5481566657486057	2.2955035778079167	1.3590826173935004	1.5425442780777785	1.3555595042877695	1.307389612815567
S191127.4.0.c	2.2251397274020133	1.7013407302175827	0.0	1.8553805605940847	3.0082665233137416	3.052678000212993	1.4758609764393609	2.099616052032923	1.3798929296550095	2.91490746826385	1.8864412273306992
S191127.3.0.c	0.4903602240896485	1.422502200942845	1.8553805605940847	0.0	2.6946275416387264	2.7993859580871243	3.1125256820885543	0.39249002821920215	2.5973012269775326	2.5413905085700863	1.8673809103104997
S191127.5.2.c	2.610460912900254	1.4745255735501583	3.0082665233137416	2.6946275416387264	0.0	0.12772682456907167	3.0160057060669274	2.4659670157704077	2.244898016645931	0.16493861652083058	1.8334294760281455
S191127.5.0.c	2.7262795463792626	1.5481566657486057	3.052678000212993	2.7993859580871243	0.12772682456907167	0.0	3.002040267499223	2.578849612158858	2.2345628243691156	0.28963607777868744	1.9060341495742015
S191127.4.1.c	3.393392618607003	2.2955035778079167	1.4758609764393609	3.1125256820885543	3.0160057060669274	3.002040267499223	0.0	3.245789089199918	0.8475318545240913	2.994365536736204	2.269850495137166
S191127.3.2.c	0.2153742659737016	1.3590826173935004	2.099616052032923	0.39249002821920215	2.4659670157704077	2.578849612158858	3.245789089199918	0.0	2.6798549199852495	2.3064834119040327	1.7324242253660755
S191127.4.2.c	2.853008228517118	1.5425442780777785	1.3798929296550095	2.5973012269775326	2.244898016645931	2.2345628243691156	0.8475318545240913	2.6798549199852495	0.0	2.221202917756446	1.8290029878959833
S191127.5.3.c	2.448577743675731	1.3555595042877695	2.91490746826385	2.5413905085700863	0.16493861652083058	0.28963607777868744	2.994365536736204	2.3064834119040327	2.221202917756446	0.0	1.7179630644285966
S191127.3.3.c	1.8036195541378863	1.307389612815567	1.8864412273306992	1.8673809103104997	1.8334294760281455	1.9060341495742015	2.269850495137166	1.7324242253660755	1.8290029878959833	1.7179630644285966	0.0
