#OTU_ID	WT1_R3TK43_d7_COLON	WT2_L1TK28_D7_COLON	WT3_L1TK41_d7_COLON	WT4_R1TK44_d7_COLON	KO1_R3L1TK43_d7_COLON	KO2_R1R3TK28_d7_COLON	KO3_L3TK40_d7_COLON	KO4_TK44L1_d7_COLON	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
280912db342c587dc293e551c14bf4eb	31123	12555	5100	36801	5525	25	1126	6415	39355	33120	15068	6895	52186	27344	714	41079	14255	59058	22149	14432	34220	25421	296	30192	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__
6fc62ded0a38ff98acf37a89de4fdd4b	3068	3080	2616	3452	26409	8475	53885	80397	126	224	113	73	94	60	68	484	846	4571	1024	360	957	7431	57	2878	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__
bcb39c292c46f74053854de3d99a98a9	8198	10903	1030	7267	44	0	12	1635	607	7140	15620	9757	12014	2523	20622	7363	8329	4867	17136	2277	19296	2183	4383	7238	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
f11e281d7072466490c362c7c86281d4	1263	830	361	660	32214	15402	22202	28463	1595	1263	506	745	921	614	544	242	952	2301	742	4179	334	3669	368	11978	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__acidifaciens
81f2ec810514fb3cf7e4558363695473	7575	8812	1380	3766	0	34	0	866	354	2819	5614	8135	14208	4812	6083	3501	5761	2210	10006	19001	4102	631	4348	4546	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
59fa918ef2890dcc2f4fc44bb24f640a	4541	4262	580	4059	23	68	16	187	329	1835	8233	4771	5799	3014	6368	3571	6717	1818	8710	6501	2843	691	1660	2522	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri
a42b3731a4a5f300449cb0c72ae927fd	1466	1590	560	2517	21	236	0	1377	2880	3703	4741	3038	278	1321	6861	1986	2183	3705	7971	1316	982	3147	955	3425	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
65714525ed3598521dc2ad847095678c	727	125	269	11	8266	2526	1701	21505	767	844	877	462	674	1192	734	172	117	112	606	92	136	9113	612	2202	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
9b2505955b110a98c57031905b8c9554	2203	2508	748	288	5806	87	7	36	1144	2801	1244	3425	2303	1981	2340	1403	998	124	2821	3920	4409	1376	2674	572	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
354b506daf0a85ba6e72869d38a5f69a	158	331	221	0	15294	8460	1411	6563	388	564	350	404	836	699	0	0	54	822	484	1894	11	2935	0	909	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__
ab440a87a87df78bfa275f8005d55304	1895	970	1856	207	281	137	52	87	5665	1816	1264	524	4571	2301	3446	1885	783	25	2645	618	6442	2771	1754	410	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
980540df4a0e75ad7c7dd61d9db6fd01	3035	145	210	814	307	1680	27	177	2351	3172	188	163	1435	1387	5242	1529	2025	30	297	205	7944	2570	2867	320	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
ecbc6a3f1ce41cd145057fd7618f6b01	230	492	48	859	59	2034	30	6752	557	523	1993	879	2273	776	7395	776	821	1639	2074	3034	844	1369	634	1704	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__salivarius
9314743727a57de1a2400ae5f29115ce	46	62	17	0	12319	17	6923	10804	0	5	0	0	0	0	17	0	0	444	0	0	0	31	0	75	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
cc0e3e41b489d3c2e14589bae1b3a62a	569	1949	685	1019	221	1136	65	1349	168	1213	1773	1322	421	2888	1389	126	0	2719	2202	4263	1082	384	427	3012	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
8302a960abf699aa2b216a9eb568f0f3	1593	2656	2431	0	869	2825	3135	0	553	626	2298	2648	918	920	0	0	3141	338	1762	721	774	1786	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__
ef65cd078c2d522de2bd96bf208a453b	612	412	74	0	9947	39	5260	0	236	225	189	34	1844	494	0	0	33	21	166	1907	676	7045	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
eba9670bdcda520179a1caf838ee51cc	2182	0	292	2767	0	221	0	9	423	456	0	838	1830	244	5963	610	490	0	902	551	2931	751	4850	12	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
f9aee486b7168cd5a68a73e01ff0a207	80	107	23	39	8524	2476	4406	4856	215	109	14	12	61	16	39	30	89	155	24	48	106	2308	11	2218	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
dffbc268ed7650d48944791ffad98a06	784	1395	277	375	314	659	44	23	658	1594	804	2212	1572	730	1159	474	1391	112	1557	2228	1797	1916	494	2010	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
6331bab7aa08582f36c6ef183ececd7e	0	0	38	2045	0	0	12	308	1946	0	0	0	3497	509	4754	2206	3068	0	0	0	23	441	1460	2870	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
fd261f2f4b1b283d9fb60fb93293623d	16	33	0	0	4503	7	10862	7376	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__pneumotropica
e6194fbbf6a3c8ebf9455f324b2e7fb5	0	0	45	1959	0	0	0	278	1956	0	0	0	3450	481	4812	2171	3036	27	0	0	23	413	1370	2829	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
13db3baef4c0edd176f49278a170856a	1196	2272	120	281	73	73	6	243	401	51	960	758	1520	627	2284	1145	606	0	1225	383	2538	102	2297	3205	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
d2ca3ffa4979161cbb35f04f0dce7c04	168	232	0	71	479	72	0	3818	184	70	61	24	0	15	147	244	63	15	54	177	1092	1121	93	13407	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
d9e6b9f7dec8bd7975afd77f327723fc	4156	269	208	1585	18	0	0	24	2197	2452	86	174	799	421	1344	1556	863	0	315	560	3544	252	44	286	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
37e43142f3a9b52323b358e772ad2d9d	1271	782	78	104	4722	848	344	395	595	562	525	491	532	237	286	82	256	57	1005	828	3576	1970	281	1354	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
55772815f26b5b0516a14f5ba32dc03b	5577	0	165	358	0	110	0	0	0	101	436	342	91	201	2310	633	0	0	426	518	0	6913	1736	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
cd359c6a84f598ea509a895c80f21218	1049	1011	150	1034	0	0	0	0	88	451	1973	1144	1388	717	1495	807	1669	465	2108	1670	725	188	450	628	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri
4e34f879644aa1999df7a73aafda313d	1273	1263	770	395	60	1067	0	0	842	1146	434	1243	2541	1951	645	809	683	35	503	788	1496	398	48	264	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
