OTU ID,SK56,SK57,SK58,SK59,SK60,SK61,SK62,SK63,SK64,SK65,SK66,SK67,SK68,SK69,SK70,SK71,SK72,taxonomy
k__;p__;c__;o__;f__;g__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,
k__Bacteria;p__;c__;o__;f__;g__,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,24,0,0,0,28,0,7,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,362,898,1280,4199,2523,1573,223,241,48,123,180,295,146,0,13,183,45,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella,7,0,0,0,0,79,115,1215,1571,1792,35,208,122,0,67,139,76,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,12,0,0,0,16,17,45,15,31,0,17,0,0,0,25,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,12693,19175,28890,1492,9575,1198,15500,471,755,2647,21,0,13,15,13,14024,141,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,679,791,1022,1100,1018,189,3197,337,1755,248,749,687,226,15,42,8,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,780,137,31,0,209,15,0,0,0,61,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,16,0,12,439,0,464,1688,25,196,20,690,1069,5,10,0,14,0,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
k__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,0,0,5,0,9,18,0,17,0,0,17,0,211,552,1030,139,1160,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,711,3021,3959,1804,2332,1356,550,337,905,748,179,884,167,160,150,1099,773,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,189,1089,2804,744,2511,534,249,636,420,3731,3840,12253,15117,45279,33701,13640,18171,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,104,118,519,369,550,470,59,111,88,1048,0,192,0,490,49,173,1553,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Catabacter,0,0,0,0,0,0,0,0,0,0,28,50,23,0,14,16,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,418,0,0,11,114,0,64,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_18,0,0,0,0,0,5,174,120,223,207,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XI;g__Anaerococcus,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,185,196,494,0,0,44,28,19,0,101,0,0,15,0,0,6,0,
