OTU ID,SK01,SK02,SK04,SK05,SK06,SK07,SK08,SK09,SK10,SK11,SK12,SK13,SK14,SK15,SK16,SK17,taxonomy
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,779,625,750,225,178,22,64,0,81,47,39,205,0,24,5,8,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella,0,0,0,0,19,99,195,843,261,26,29,99,481,149,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,17,9,0,0,9,0,18,0,26,25,0,0,0,0,40,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,10014,6738,7253,5490,9093,3580,4277,6574,11244,1317,815,768,743,3666,21360,11708,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,0,0,0,0,0,0,0,0,143,80,0,5,20,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,1547,800,416,577,2615,742,1972,5325,3803,1768,957,1532,3268,1198,52,109,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0,0,0,0,0,0,0,0,0,400,288,145,19,124,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,716,618,483,23,0,0,0,0,0,418,733,392,108,185,0,0,
