# Constructed from biom file
#OTU ID	WT1_R3TK43_d7_COLON	WT2_L1TK28_D7_COLON	WT3_L1TK41_d7_COLON	WT4_R1TK44_d7_COLON	KO1_R3L1TK43_d7_COLON	KO2_R1R3TK28_d7_COLON	KO3_L3TK40_d7_COLON	KO4_TK44L1_d7_COLON	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	80.0	107.0	23.0	39.0	8524.0	2476.0	4406.0	4856.0	215.0	109.0	14.0	12.0	61.0	16.0	39.0	30.0	89.0	155.0	24.0	48.0	106.0	2308.0	11.0	2218.0
k__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	3306.0	3327.0	4299.0	3931.0	26937.0	8774.0	54194.0	80427.0	151.0	224.0	131.0	73.0	175.0	78.0	99.0	484.0	992.0	4593.0	1155.0	366.0	1009.0	7448.0	85.0	2878.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	155.0	29.0	0.0	13.0	57.0	70.0	0.0	0.0	0.0	40.0	15.0	0.0	0.0	0.0	0.0	4.0	0.0	57.0	107.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	46.0	62.0	17.0	0.0	12319.0	17.0	6923.0	10804.0	0.0	5.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	444.0	0.0	0.0	0.0	31.0	0.0	75.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	22618.0	26460.0	3326.0	17960.0	126.0	2136.0	58.0	9440.0	2017.0	13139.0	35387.0	25830.0	37073.0	12472.0	43366.0	16783.0	24805.0	11426.0	42030.0	34002.0	28393.0	5210.0	11907.0	17230.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	8.0	0.0	0.0	10.0	0.0	0.0	0.0	20.0	0.0	40.0	17.0	38.0	0.0	19.0	33.0	25.0	5.0	99.0	0.0	42.0	5.0	23.0	0.0	23.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	16.0	0.0	3.0	0.0	5.0	0.0	16.0	0.0	13.0	0.0	0.0	7.0	5.0	10.0	6.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0.0	0.0	0.0	13.0	5.0	13.0	0.0	0.0	16.0	16.0	0.0	10.0	13.0	11.0	35.0	9.0	9.0	0.0	21.0	12.0	5.0	9.0	12.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1	2802.0	1546.0	273.0	0.0	10.0	407.0	0.0	27.0	4061.0	2244.0	3234.0	872.0	3262.0	1247.0	0.0	0.0	2504.0	7287.0	4668.0	1045.0	529.0	496.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__	312.0	237.0	403.0	105.0	212.0	519.0	25.0	159.0	28.0	9.0	34.0	56.0	31.0	0.0	68.0	15.0	30.0	0.0	21.0	13.0	17.0	36.0	14.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__	86.0	37.0	85.0	81.0	30.0	161.0	993.0	11.0	49.0	31.0	97.0	71.0	26.0	8.0	119.0	13.0	84.0	0.0	225.0	44.0	20.0	155.0	56.0	52.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	11.0	0.0	9.0	8.0	0.0	0.0	0.0	13.0	0.0	4.0	13.0	0.0	0.0	34.0	0.0	122.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001	61.0	61.0	119.0	199.0	0.0	54.0	0.0	0.0	29.0	0.0	62.0	45.0	9.0	8.0	103.0	0.0	57.0	0.0	126.0	24.0	25.0	17.0	93.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	2385.0	1781.0	7610.0	6332.0	70.0	2879.0	596.0	117.0	1430.0	561.0	4841.0	3542.0	1304.0	409.0	7203.0	1532.0	2165.0	11.0	6759.0	2043.0	687.0	3740.0	5315.0	245.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2	100.0	29.0	263.0	207.0	0.0	0.0	0.0	0.0	13.0	16.0	48.0	28.0	13.0	18.0	34.0	25.0	38.0	0.0	120.0	65.0	0.0	0.0	167.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor	530.0	292.0	1640.0	908.0	0.0	743.0	0.0	0.0	61.0	0.0	297.0	52.0	72.0	8.0	530.0	85.0	35.0	0.0	303.0	6.0	20.0	53.0	380.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerosporobacter	0.0	1701.0	0.0	1594.0	0.0	19.0	0.0	0.0	0.0	0.0	839.0	823.0	0.0	0.0	1486.0	486.0	0.0	0.0	1007.0	45.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575	196.0	217.0	1912.0	1310.0	17.0	204.0	0.0	0.0	156.0	34.0	373.0	139.0	266.0	69.0	422.0	74.0	55.0	0.0	463.0	5.0	0.0	146.0	171.0	45.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	1210.0	592.0	3933.0	1340.0	669.0	1164.0	9499.0	69.0	656.0	425.0	1549.0	645.0	941.0	201.0	1643.0	181.0	942.0	41.0	3316.0	794.0	430.0	4633.0	945.0	178.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	0.0	103.0	121.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	91.0	41.0	18.0	0.0	66.0	0.0	0.0	0.0	136.0	0.0	6.0	0.0	31.0	0.0
