	SK22	SK23	SK24	SK25	SK26	SK27	SK28	SK29	SK30	SK31	SK32	SK33	SK34	SK35	SK36	SK37	SK38
SK22	0.0	1.0833879526886607	0.7181018074142875	0.08660312623757997	0.25280950982221184	2.167034553503169	2.228329791185412	2.2820050724844894	2.360779449277866	2.2447626449220435	2.9028504845061565	2.8859689900387764	2.6630873479804276	2.7050133102808394	2.722201881732277	1.7505019815403624	1.387522610581577
SK23	1.0833879526886607	0.0	0.579087400399552	1.0904998177476057	1.0435759589059916	2.4948722116466078	2.561644014310113	2.6999704057376674	2.635002816166924	2.6762080266360195	2.348523028375239	2.151691279391366	2.0260451001589206	1.873083431942424	1.988120055938129	0.7358700672193494	0.7305173408122658
SK24	0.7181018074142875	0.579087400399552	0.0	0.7203387092145235	0.579341735540236	2.6335250844444236	2.6935935055115388	2.794373587316604	2.8014247827217003	2.760351208354314	2.853440297518036	2.704335661810037	2.55179385170529	2.4424623449913416	2.5389477247351455	1.289624368214465	1.2118822025492146
SK25	0.08660312623757997	1.0904998177476057	0.7203387092145235	0.0	0.28761462568214885	2.1903687951659	2.2607823132133347	2.3100563443269873	2.3886466789512033	2.2764724142292305	2.9104343266959583	2.898494276247359	2.6730402887418854	2.718280112593769	2.7362660025826804	1.7463027076037272	1.4056082708107545
SK26	0.25280950982221184	1.0435759589059916	0.579341735540236	0.28761462568214885	0.0	2.3866995500293857	2.4347630324191316	2.497730571898583	2.5719431588045354	2.4549275769799377	3.041700967141792	2.981585621893702	2.780912125390605	2.772875220340167	2.814581705979186	1.7543650892131522	1.4592108296262916
SK27	2.167034553503169	2.4948722116466078	2.6335250844444236	2.1903687951659	2.3866995500293857	0.0	0.2584545500592302	0.3077827421094292	0.2445911907279186	0.3751296178144982	2.0944928683591213	2.4464936165902116	2.1315231101485432	2.573210174140954	2.353868453076163	2.670441900434638	1.9703703942994983
SK28	2.228329791185412	2.561644014310113	2.6935935055115388	2.2607823132133347	2.4347630324191316	0.2584545500592302	0.0	0.24744225380914886	0.22098801696662979	0.24372651418964877	2.1913962556023128	2.5159095255993997	2.2179476746088063	2.6372308610037134	2.4202107142304325	2.761359790599847	2.0383174122206023
SK29	2.2820050724844894	2.6999704057376674	2.794373587316604	2.3100563443269873	2.497730571898583	0.3077827421094292	0.24744225380914886	0.0	0.34999905536672676	0.11498905763623561	2.3794693451169606	2.725076889453074	2.4177332469299846	2.8490860436229455	2.6313008515738714	2.9254754721870415	2.2098271437119283
SK30	2.360779449277866	2.635002816166924	2.8014247827217003	2.3886466789512033	2.5719431588045354	0.2445911907279186	0.22098801696662979	0.34999905536672676	0.0	0.4062643119698144	2.0634785556836226	2.4250676493337506	2.1226959677544794	2.575325954656995	2.341504792392083	2.7792468683776885	2.0739266888083554
SK31	2.2447626449220435	2.6762080266360195	2.760351208354314	2.2764724142292305	2.4549275769799377	0.3751296178144982	0.24372651418964877	0.11498905763623561	0.4062643119698144	0.0	2.4235405481347625	2.7501897309941943	2.448378506381337	2.863394148083362	2.6518785304418904	2.9221407318409067	2.197815271394373
SK32	2.9028504845061565	2.348523028375239	2.853440297518036	2.9104343266959583	3.041700967141792	2.0944928683591213	2.1913962556023128	2.3794693451169606	2.0634785556836226	2.4235405481347625	0.0	0.5725896296786211	0.37254944041234617	0.9171777780847874	0.6277633794842927	1.9041727855589146	1.6640966615824662
SK33	2.8859689900387764	2.151691279391366	2.704335661810037	2.898494276247359	2.981585621893702	2.4464936165902116	2.5159095255993997	2.725076889453074	2.4250676493337506	2.7501897309941943	0.5725896296786211	0.0	0.34629867511606605	0.39234202215832076	0.17367433290875678	1.62099725528132	1.5268203261845428
SK34	2.6630873479804276	2.0260451001589206	2.55179385170529	2.6730402887418854	2.780912125390605	2.1315231101485432	2.2179476746088063	2.4177332469299846	2.1226959677544794	2.448378506381337	0.37254944041234617	0.34629867511606605	0.0	0.586823161927367	0.30902902203576754	1.561860593986259	1.357458445015134
SK35	2.7050133102808394	1.873083431942424	2.4424623449913416	2.718280112593769	2.772875220340167	2.573210174140954	2.6372308610037134	2.8490860436229455	2.575325954656995	2.863394148083362	0.9171777780847874	0.39234202215832076	0.586823161927367	0.0	0.3075134284765854	1.3052039004147902	1.3202674660813165
SK36	2.722201881732277	1.988120055938129	2.5389477247351455	2.7362660025826804	2.814581705979186	2.353868453076163	2.4202107142304325	2.6313008515738714	2.341504792392083	2.6518785304418904	0.6277633794842927	0.17367433290875678	0.30902902203576754	0.3075134284765854	0.0	1.47940498089914	1.3584840579626412
SK37	1.7505019815403624	0.7358700672193494	1.289624368214465	1.7463027076037272	1.7543650892131522	2.670441900434638	2.761359790599847	2.9254754721870415	2.7792468683776885	2.9221407318409067	1.9041727855589146	1.62099725528132	1.561860593986259	1.3052039004147902	1.47940498089914	0.0	0.7486081240344459
SK38	1.387522610581577	0.7305173408122658	1.2118822025492146	1.4056082708107545	1.4592108296262916	1.9703703942994983	2.0383174122206023	2.2098271437119283	2.0739266888083554	2.197815271394373	1.6640966615824662	1.5268203261845428	1.357458445015134	1.3202674660813165	1.3584840579626412	0.7486081240344459	0.0
