OTU ID,S191127.3.1.c,S191127.5.1.c,S191127.4.0.c,S191127.3.0.c,S191127.5.2.c,S191127.5.0.c,S191127.4.1.c,S191127.3.2.c,S191127.4.2.c,S191127.5.3.c,S191127.3.3.c,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0,37,0,0,0,0,0,0,0,0,4586,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus,0,0,0,0,0,0,0,20,0,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__NA;g__NA,0,169,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria,0,0,0,0,0,0,0,26,0,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides,0,27,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium,0,0,0,0,0,0,0,18,0,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enterorhabdus,51,0,38,0,13,0,0,11,29,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__NA,2102,3341,1791,2924,2968,1188,119,1333,300,2237,0,
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter,0,38,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,4332,15790,20835,19737,9722,13032,15801,6154,24686,10257,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA;g__NA,6511,3880,1512,3984,3094,3852,130,4800,746,3329,0,
